-- DINV Priority: navi
-- After editing, run: dinv priority import navi

levels       1-50    51-100  101-150 151-200 201-291
str          1.00    1.00    1.00    1.00    1.00   
int          2.00    2.00    2.00    2.00    2.00   
wis          1.90    1.90    1.90    1.90    1.90   
dex          1.00    1.00    1.00    1.00    1.00   
con          1.00    1.00    1.00    1.00    1.00   
luck         1.50    1.50    1.50    1.50    1.50   
dam          1.00    1.00    1.00    1.00    1.00   
hit          0.50    0.50    0.50    0.50    0.50   
avedam       5.00    5.00    5.00    5.00    5.00   
offhandDam   0.50    0.50    0.50    0.50    0.50   
hp           0.00    0.00    0.00    0.00    0.00   
mana         0.00    0.00    0.00    0.00    0.00   
moves        0.00    0.00    0.00    0.00    0.00   
sanctuary    0.00    0.00    0.00    0.00    0.00   
haste        0.00    0.00    0.00    0.00    0.00   
flying       500.00  500.00  500.00  500.00  500.00 
invis        0.00    0.00    0.00    0.00    0.00   
regeneration 0.00    0.00    0.00    0.00    0.00   
detectinvis  0.00    0.00    0.00    0.00    0.00   
detecthidden 0.00    0.00    0.00    0.00    0.00   
detectevil   0.00    0.00    0.00    0.00    0.00   
detectgood   0.00    0.00    0.00    0.00    0.00   
dualwield    900.00  900.00  900.00  900.00  900.00 
irongrip     2.00    2.00    2.00    2.00    2.00   
shield       0.00    0.00    0.00    0.00    0.00   
allmagic     0.00    0.00    0.00    0.00    0.00   
allphys      0.00    0.00    0.00    0.00    0.00   
maxint       0.00    0.00    0.00    0.00    0.00   
maxwis       0.00    0.00    0.00    0.00    0.00   
maxluck      0.00    0.00    0.00    0.00    0.00   
maxstr       0.00    0.00    0.00    0.00    0.00   
maxdex       0.00    0.00    0.00    0.00    0.00   
maxcon       0.00    0.00    0.00    0.00    0.00   
~second      0.00    0.00    0.00    0.00    0.00   
